Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1764043460,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1764043461,5,,Aggregated,0.000000,0.000000,15,18,61,61,69,71,71,71,71,71,71,19,0,15,26.907368416064664,5.901800002902746,70.70169999497011,11479.263157894737
1764043462,10,,Aggregated,0.000000,0.000000,16,22,44,48,61,64,71,71,71,71,71,44,0,15,23.49285454097712,4.44050005171448,70.70169999497011,14824.613636363636
1764043463,15,,Aggregated,19.000000,0.000000,14,25,44,47,50,61,69,71,71,71,71,71,0,14,22.490640844769356,4.084100015461445,70.70169999497011,12344.81690140845
1764043464,20,,Aggregated,20.500000,0.000000,14,25,45,47,50,54,64,69,71,71,71,104,0,14,22.19876538583776,3.953100007493049,70.70169999497011,10634.413461538461
1764043465,20,,Aggregated,22.333333,0.000000,11,21,30,46,50,54,64,69,71,71,71,118,0,11,20.516040679205492,3.7558000185526907,70.70169999497011,11235.127118644068
1764043466,20,,Aggregated,23.000000,0.000000,9,20,29,46,50,54,64,69,71,71,71,133,0,9,19.82964737002941,3.362299990840256,70.70169999497011,11621.488721804511
1764043467,20,,Aggregated,21.000000,0.000000,8,20,29,46,49,54,64,69,71,71,71,145,0,8,19.428973104644182,3.2261000014841557,70.70169999497011,10711.993103448276
1764043468,20,,Aggregated,20.333333,0.000000,8,20,44,46,49,54,61,69,71,71,71,160,0,7,19.490445001065382,3.2261000014841557,70.70169999497011,11093.8125
1764043469,20,,Aggregated,19.714286,0.000000,7,20,30,46,49,53,61,69,71,71,71,176,0,7,19.083600000819636,3.2261000014841557,70.70169999497011,13771.068181818182
1764043470,20,,Aggregated,18.500000,0.000000,7,20,44,46,48,53,61,69,71,71,71,194,0,7,19.215685568063414,3.2261000014841557,70.70169999497011,16946.453608247422
1764043471,20,,Aggregated,18.333333,0.000000,7,17,29,46,48,52,61,64,71,71,71,209,0,7,18.684389475180488,3.2261000014841557,70.70169999497011,17834.55023923445
1764043472,20,,Aggregated,17.900000,0.000000,7,18,44,46,48,52,61,64,71,71,71,226,0,7,19.113242922122055,3.2261000014841557,70.70169999497011,18429.203539823007
1764043473,20,,Aggregated,17.800000,0.000000,7,20,44,46,48,52,61,64,71,71,71,240,0,7,19.48493125164532,3.2261000014841557,70.70169999497011,18287.204166666666
1764043474,20,,Aggregated,17.200000,0.000000,7,18,44,46,48,52,57,64,71,71,71,257,0,7,19.22024241426655,3.2261000014841557,70.70169999497011,17114.579766536965
1764043475,20,,Aggregated,15.900000,0.000000,7,17,44,46,48,50,57,64,71,71,71,272,0,7,18.854702942917356,3.2261000014841557,70.70169999497011,18602.077205882353
1764043476,20,,Aggregated,15.000000,0.000000,7,17,44,46,48,50,57,64,71,71,71,286,0,7,18.619270631359644,3.2261000014841557,70.70169999497011,17725.39160839161
1764043477,20,,Aggregated,15.700000,0.000000,7,17,44,46,48,50,54,61,71,71,71,303,0,7,18.830757097129037,3.2261000014841557,70.70169999497011,17487.91089108911
1764043478,20,,Aggregated,15.100000,0.000000,6,16,44,46,48,50,54,61,71,71,71,318,0,6,18.447325473033338,3.2261000014841557,70.70169999497011,17382.022012578618
1764043479,20,,Aggregated,15.200000,0.000000,6,16,44,46,48,50,57,64,310,310,310,334,0,6,19.35011886382994,3.2261000014841557,313.5143999825232,17894.101796407187
1764043480,20,,Aggregated,15.700000,0.000000,6,16,44,46,48,50,54,64,310,310,310,351,0,6,19.20463333481477,3.2261000014841557,313.5143999825232,18309.415954415956
1764043481,20,,Aggregated,15.500000,0.000000,6,16,44,46,48,50,54,64,310,310,310,369,0,6,19.11551707429271,3.2261000014841557,313.5143999825232,18642.79674796748
1764043482,20,,Aggregated,15.700000,0.000000,6,15,44,46,48,50,54,64,310,310,310,383,0,6,18.733719061068005,3.2261000014841557,313.5143999825232,18568.096605744126
1764043483,20,,Aggregated,15.500000,0.000000,6,15,44,46,48,49,54,61,310,310,310,402,0,6,18.41624527480407,3.2261000014841557,313.5143999825232,18267.751243781095
1764043484,20,,Aggregated,15.800000,0.000000,6,15,44,46,48,50,54,61,310,310,310,414,0,6,18.519782126602234,3.2261000014841557,313.5143999825232,18823.24396135266
1764043485,20,,Aggregated,15.900000,0.000000,6,15,44,45,48,50,54,61,310,310,310,432,0,6,18.289042593365863,3.2261000014841557,313.5143999825232,19095.291666666668
1764043486,20,,Aggregated,16.100000,0.000000,6,14,31,45,48,49,54,61,310,310,310,448,0,6,17.913525893293677,3.2261000014841557,313.5143999825232,18934.015625
1764043487,20,,Aggregated,15.300000,0.000000,6,14,31,45,48,49,53,61,310,310,310,463,0,6,17.86247170661007,3.2261000014841557,313.5143999825232,18820.090712742982
1764043488,20,,Aggregated,15.900000,0.000000,6,14,30,45,47,49,53,61,310,310,310,484,0,6,17.661382024963427,3.2261000014841557,313.5143999825232,18492.39876033058
1764043489,20,,Aggregated,15.900000,0.000000,6,14,27,45,47,49,53,61,310,310,310,496,0,6,17.461191532234924,3.2261000014841557,313.5143999825232,18514.52620967742
1764043490,20,,Aggregated,16.100000,0.000000,6,14,29,45,47,49,53,61,310,310,310,513,0,6,17.50995964889794,3.2261000014841557,313.5143999825232,18795.33723196881
